Protein Names	Gene Names	mRNA copy number experiment [molecules/cell]	Protein copy number experiment [molecules/cell]
Protein DJ-1	Park7	59.79	1662496.37
Protein dopey-2	Dopey2		40994.17
Protein DPCD	Dpcd	6.03	3832.05
Protein dpy-19 homolog 1	Dpy19l1	22.65	1290.32
Protein dpy-30 homolog	Dpy30	28.27	152380.84
Protein Dr1	Dr1	11.86	114272.85
Protein EFR3 homolog A	Efr3a	23.77	3881.45
Protein EMI5 homolog, mitochondrial		9.84	9631.57
Protein enabled homolog	Enah	13.17	11396.61
Protein ERGIC-53	Lman1	17.92	121518.1
Protein ETHE1, mitochondrial	Ethe1	12.64	297779.71
Protein FADD	Fadd		106673.22
Protein FAM101B	Fam101b		9249.04
Protein FAM105B	Fam105b	32.5	43376.27
Protein FAM107B	Fam107b	6.57	3737.24
Protein FAM111A	Fam111a	21.43	8114.95
Protein FAM114A2	Fam114a2		57911.28
Protein FAM118A	Fam118a	10.43	5217.11
Protein FAM118B	Fam118b	10.3	3168.33
Protein FAM128	Fam128	7.88	163909.2
Protein FAM133B	Fam133b	16.5	10837.73
Protein FAM136A	Fam136a	15.37	76567.12
Protein FAM173A	Fam173a	13.2	9769.66
Protein FAM176B	Fam176b	17.12	34248.98
Protein FAM177A1	Fam177a1		16003.91
Protein FAM21	Fam21	12.28	34908.46
Protein FAM32A	Fam32a	10.6	19345.58
Protein FAM36A	Fam36a	13.28	94575.13
Protein FAM3A	Fam3a	7.48	25303.89
Protein FAM3C	Fam3c	19.96	157281.57
Protein FAM40A	Fam40a	19.7	19474.96
Protein FAM44B	Fam44b	18.55	9550.16
Protein FAM45	Fam45		6555.8
Protein FAM49B	Fam49b	18.54	494334.21
Protein FAM50A	Fam50a	19.06	193449.03
Protein FAM54B	Fam54b	16.26	11454.16
Protein FAM63A	Fam63a	15.28	13976.46
Protein FAM65A	Fam65a	7.73	269.34
Protein FAM73B	Fam73b	11.1	1687.39
Protein FAM76B	Fam76b	3.82	2855.71
Protein FAM83H	Fam83h	15.48	24136.62
Protein FAM91A1	Fam91a1	41.94	48288.29
Protein FAM98A	Fam98a	19.58	58573.13
Protein FAM98B	Fam98b	13.63	139459.23
Protein fantom	Rpgrip1l		624.75
Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha	Fnta	21.45	34865.77
Protein fat-free homolog	Ffr	10.21	14470.63
Protein fem-1 homolog B	Fem1b	13	3146.13
Protein flightless-1 homolog	Flii	20.13	70958.85
Protein FRG1	Frg1	12.63	128027.67
Protein fto	Fto	11.87	4128.66
Protein GTLF3B	Gtlf3b	3.83	4725.62
Protein HEXIM1	Hexim1	11.53	73373.84
Protein Hook homolog 3	Hook3	2.39	6922.59
Protein HRPAP20	Hrpap20	5.62	45391.98
Protein IMPACT	Impact	16.12	55247.29
Protein IWS1 homolog	Iws1	2.86	2604.3
Protein jagunal homolog 1	Jagn1	19.53	26941.1
Protein KIAA0664	Kiaa0664	40.09	116467.62
Protein KIAA1967 homolog		8.28	31870.28
Protein kinase C and casein kinase II substrate protein 3	Pacsin3	4.96	11000.76
Protein kinase C and casein kinase substrate in neurons protein 2	Pacsin2	64.52	361178.48
Protein kinase C binding protein 1	Prkcbp1	13.53	8373.8
Protein kinase C delta type	Prkcd	17.18	9068.73
Protein kinase C delta-binding protein	Prkcdbp	24.71	262757.2
Protein kinase C iota type	Prkci	16.33	23906.97
Protein kinase, cAMP dependent regulatory, type II alpha	Prkar2a	22.85	37389.21
Protein KRI1 homolog	Kri1	18.41	7320.6
Protein KTI12 homolog	Kti12	19.3	26365.28
Protein LAP2	Erbb2ip	15.27	10265.71
Protein LAP4	Scrib	32.87	64274.46
Protein LLP homolog	Llph	8.49	288772
Protein LSM12 homolog	Lsm12	23.18	350162.36
Protein LSM14 homolog A	Lsm14a	26.01	48134.75
Protein LTV1 homolog	Ltv1	12.46	9153.69
Protein lunapark	Lnp	2.55	79763.51
Protein LYRIC	Mtdh	54.13	423623.38
Protein LZIC	Lzic	14.21	153524.06
Protein mago nashi homolog	Magoh	69.54	1759330.02
Protein MAK10 homolog	Mak10	16.2	4948.4
Protein MAK16 homolog	Mak16	31.38	98176.94
Protein MEMO1	Memo1	27.73	298517.56
Protein MICAL-2	Mical2	24.69	1683.93
Protein midA homolog, mitochondrial	2410091C18Rik	4.95	5207.76
Protein MIS12 homolog	Mis12	19.65	5455.82
Protein misato homolog 1	Msto1	41.6	104847.72
Protein Muted	Muted	4.55	38249.5
Protein NDRG1	Ndrg1	9.91	77701.86
Protein NDRG3	Ndrg3	15.03	29941.79
Protein NEDD1	Nedd1	7.26	1553.52
Protein NipSnap homolog 1	Nipsnap1	11.33	218678.46
Protein NipSnap homolog 3A	Nipsnap3a	8.51	67258.99
Protein Noxp20	Fam114a1	7.11	177932.38
Protein N-terminal asparagine amidohydrolase	Ntan1	17.38	2998.29
Protein PAT1 homolog 1	Patl1	13.69	11695.18
Protein phosphatase 1 regulatory subunit 12A	Ppp1r12a	17.19	117134.53
Protein phosphatase 1 regulatory subunit 12B	Ppp1r12b	2.55	35509.77
Protein phosphatase 1 regulatory subunit 12C	Ppp1r12c	16.55	4172.36
Protein phosphatase 1 regulatory subunit 14B	Ppp1r14b	119.72	133603.63
Protein phosphatase 1 regulatory subunit 7	Ppp1r7	9.01	204699.88
Protein phosphatase 1A	Ppm1a	18.92	9146.24
Protein phosphatase 1F	Ppm1f	12.7	48157.59
Protein phosphatase 1G	Ppm1g	118.17	312831.94
Protein phosphatase 1L	Ppm1l	6.29	6506.24
Protein phosphatase 2A B56 delta subunit	Ppp2r5d	28.88	145847.01
Protein phosphatase inhibitor 2	Ppp1r2	6.25	120490
Protein phosphatase methylesterase 1	Ppme1	22.29	65482.23
Protein phosphatase PTC7 homolog	Pptc7	11.4	2878.71
Protein prune homolog	Prune	5.94	18984.22
Protein QIL1	Qil1	39.62	273368.75
Protein quaking	Qki	15.55	126001.33
Protein RCC2	Rcc2	85.79	562081.48
Protein regulator of cytokinesis 1	Prc1	45.39	21643.14
Protein RER1	Rer1		29318.4
Protein RRP5 homolog	Pdcd11	21.35	150860.65
Protein RUFY3	Rufy3	1.65	5753.75
Protein S100-A10	S100a10	377.52	3560495.45
Protein S100-A11	S100a11	465.11	2493302.67
Protein S100-A13	S100a13	5.08	21356.42
Protein S100-A4	S100a4	1779.5	30294742.51
Protein S100-A6	S100a6	1050.61	9303153.43
Protein SAAL1	Saal1	3.49	19665.5
Protein SCO1 homolog, mitochondrial	Sco1	3.02	51784.06
Protein SCO2 homolog, mitochondrial	Sco2		493069.57
Protein SDA1 homolog	Sdad1	25.34	52894.14
Protein SEC13 homolog	Sec13	82.78	301719.56
Protein sel-1 homolog 1	Sel1l	9.55	1967.71
Protein SET	Set		97115.16
Protein SET	Set	50.07	3683880.4
Protein SHQ1 homolog	Shq1	9.18	6651.58
Protein SLC7A6OS	Slc7a6os	15.41	8225.21
Protein Smaug homolog 1	Samd4a	5.72	1124.67
Protein SMG5	Smg5	47.82	8126.45
Protein SMG7	Smg7	13.6	1599.4
Protein SMG8	Smg8	9.84	3876.13
Protein SMG9	Smg9	16.13	29676.01
Protein SOLO	Solo	9.97	10615.96
Protein strawberry notch homolog 2	Sbno2	12.98	16330.29
Protein syndesmos	Nudt16l1	13.42	121651.28
Protein TANC1	Tanc1	7.04	414.69
Protein TBRG4	Tbrg4	40.39	57361.19
Protein timeless homolog	Timeless	13.59	25388
Protein transport protein Sec23A	Sec23a	5.81	29193.15
Protein transport protein Sec23B	Sec23b	18.81	94774.97
Protein transport protein Sec24A	Sec24a	3.78	11920.78
Protein transport protein Sec31A	Sec31a	42.95	387785.84
Protein transport protein Sec61 subunit alpha isoform 1	Sec61a1	100.14	975439.42
Protein transport protein Sec61 subunit alpha isoform 2	Sec61a2	25.18	13369.23
Protein transport protein Sec61 subunit beta	Sec61b	89.98	185578.78
Protein transport protein Sec61 subunit gamma	Sec61g		100258.32
Protein TSSC4	Tssc4		24539.91
Protein tyrosine phosphatase type IVA 1	Ptp4a1		139410.59
Protein tyrosine phosphatase type IVA 2	Ptp4a2	46.47	33700.37
Protein tyrosine phosphatase-like protein PTPLAD1	Ptplad1	16.83	17109.77
Protein unc-119 homolog A	Unc119	16.38	2508.45
Protein unc-119 homolog B	Unc119b	18.99	77375.39
Protein unc-45 homolog A	Unc45a	12.67	53975.28
Protein unc-84 homolog A	Unc84a	18.55	17904.17
Protein VAC14 homolog	Vac14	8.24	1516.36
Protein VPRBP	Vprbp	9.34	4218.31
Protein Wiz	Wiz	12.24	10191.2
Protein XRP2	Rp2	3.33	9257.58
Protein YIF1A	Yif1a	27.28	21168.47
Protein YIF1B	Yif1b	22.45	80065.73
Protein YIPF4	Yipf4	9.41	73151.23
Protein yippee-like 5	Ypel5	2.28	21420.59
Protein zwilch homolog	Zwilch	6.78	5171.65
Protein zyg-11 homolog B	Zyg11b	4.1	5825.35
Protein-L-isoaspartate(D-aspartate) O-methyltransferase	Pcmt1	12.84	357201.74
Protein-tyrosine phosphatase mitochondrial 1	Ptpmt1	16.24	49304.89
Protein-tyrosine phosphatase-like member B	Ptplb	5.6	6924.63
Proteolipid protein 2	Plp2	103.19	18009.76
Prothymosin alpha	Ptma		4644594.28
Protocadherin gamma C3	Pcdhgc3	25.53	278.55
Proto-oncogene C-crk	Crk	38.4	279237.35
Proto-oncogene tyrosine-protein kinase Fyn	Fyn	6.32	64041.02
Proto-oncogene tyrosine-protein kinase MER	Mertk		18747.12
PRP4 pre-mRNA processing factor 4 homolog B (Yeast)	Prpf4b	14.77	37590.98
Prpf39 protein	Prpf39		12778.51
Psap protein	Psap	281.16	69661.84
Pseudouridylate synthase 7 homolog-like protein	Pus7l		1589.41
Psme2 protein	Psme2	63.89	1991828.46
PTB domain-containing engulfment adapter protein 1	Gulp1	1.34	8165.33
Pterin-4-alpha-carbinolamine dehydratase 2	Pcbd2	7.63	11973.22
Pumilio domain-containing protein C14orf21 homolog	2610027L16Rik	11.12	68866.14
Pumilio domain-containing protein KIAA0020	Kiaa0020	27.41	362655.12
Pumilio homolog 1	Pum1	17.23	43495.57
Purine nucleoside phosphorylase	Np	9.92	294168.99
Pus7 protein	Pus7	20.83	100263.96
Putative adenosylhomocysteinase 2	Ahcyl1	76.52	309201.24
Putative adenosylhomocysteinase 3	Ahcyl2	4.03	6467.66
Putative ATP-dependent Clp protease proteolytic subunit, mitochondrial	Clpp	40.95	257459.3
Putative ATP-dependent RNA helicase DHX30	Dhx30	23.67	33169.83
Putative ATP-dependent RNA helicase DHX33	Dhx33	12.7	16841.57
Putative deoxyribonuclease TATDN1	Tatdn1	5.66	41351.21
Putative deoxyribose-phosphate aldolase	Dera	6.79	44757.9
Putative GTP-binding protein Parf	Parf	20.63	413857.72
Putative GTP-binding protein RAY-like	Rabl4	15.91	10799.74
Putative helicase Mov10l1	Mov10l1		1835.43
Putative hexokinase HKDC1	Hkdc1		3099.11
Putative hydrolase RBBP9	Rbbp9	4.14	18162.21
Putative methyltransferase NSUN4	Nsun4	4.42	23388.35
Putative methyltransferase NSUN5	Nsun5	19.48	12109.92
Putative phospholipase B-like 2	Plbd2	15.64	24747.65
Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15	Dhx15	68.48	486961.37
Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX32	Dhx32	7.8	9763.91
Putative ribosomal RNA methyltransferase NOP2	Nop2	54.95	221725.12
Putative ribosome-binding factor A, mitochondrial	1110032A13Rik	10.95	3762.7
Putative RNA helicase	Dhx38	13.02	12059.31
Putative RNA-binding protein 3	Rbm3	86.57	3673296.87
Putative RNA-binding protein Luc7-like 1	Luc7l	7.06	118634.77
Putative RNA-binding protein Luc7-like 2	Luc7l2	25.86	1025385.46
Putative rRNA methyltransferase 3	Ftsj3	75.79	125100.84
Putative TRAF4-associated factor 1	Traf4af1	11.66	33055.43
Putative tRNA pseudouridine synthase Pus10	Pus10	7.41	70774
Putative uncharacterized protein	Adam17	16.38	179.1
Putative uncharacterized protein	Acacb		294.35
Putative uncharacterized protein	4931406P16Rik	8.77	305.66
Putative uncharacterized protein	Dlg5	8.72	340.66
Putative uncharacterized protein	6030436E02Rik	7.05	684.29
Putative uncharacterized protein	Usp32	6.84	693.79
Putative uncharacterized protein	Wdr6	15.5	713.07
Putative uncharacterized protein	Ror2	7.34	729.26
Putative uncharacterized protein	F730015K02Rik	3.42	769.11
Putative uncharacterized protein	C130039O16Rik	4.4	785.16
Putative uncharacterized protein	Mcc	6.52	826.07
Putative uncharacterized protein	Mll2		840.8
Putative uncharacterized protein	Stk25	10.99	846.12
Putative uncharacterized protein	Cux2		1295.32
Putative uncharacterized protein	AA881470	4.27	1342.68
Putative uncharacterized protein	Slc12a4	16.53	1479.74
Putative uncharacterized protein	Arfgef1	13.35	1564.56
Putative uncharacterized protein	Th1l	19.08	1581.25
Putative uncharacterized protein	Fbln2	95.52	1599.23
Putative uncharacterized protein	Tbc1d5	2.48	1726.81
Putative uncharacterized protein	Map3k7	12.88	2256.65
Putative uncharacterized protein	Tbc1d17	5.08	2305.83
Putative uncharacterized protein	4933425L03Rik	4.84	2366.39
Putative uncharacterized protein	Arid1b	2.62	2391.34
Putative uncharacterized protein	5730469M10Rik		2473.03
Putative uncharacterized protein	Farsb	34.82	2554.28
Putative uncharacterized protein	3110043O21Rik	6.5	2562.9
Putative uncharacterized protein	Pi4ka	6.77	2576.4
Putative uncharacterized protein	1810063B05Rik		2934.37
Putative uncharacterized protein	Axl	132.35	3112.61
Putative uncharacterized protein	Lrrfip2	8.64	3221.23
Putative uncharacterized protein	Cyp4f16	9.73	3495.37
Putative uncharacterized protein	Rnasen	43	3578.96
Putative uncharacterized protein	Dtx3l	2.05	3590.2
Putative uncharacterized protein	4732456N10Rik		3611.38
Putative uncharacterized protein	Sfrs8	16.93	3747.78
Putative uncharacterized protein	Smyd2		3843.82
Putative uncharacterized protein	Srcap		3991.95
Putative uncharacterized protein	Agfg2	5.51	4161.03
Putative uncharacterized protein	Pip5k1a	20.75	4440.1
Putative uncharacterized protein	Plcb3	10.44	4704.88
Putative uncharacterized protein	Tpbg	9.89	4754.87
Putative uncharacterized protein	Exoc5	8.35	5152.09
Putative uncharacterized protein	Fut8	11.27	5266.98
Putative uncharacterized protein	Zc3h7b	27.14	5311.85
Putative uncharacterized protein	2700097O09Rik	4.72	5504.58
Putative uncharacterized protein	Myo6	1.11	5565.02
Putative uncharacterized protein	Galnt2		5837.7
Putative uncharacterized protein	Ube2cbp	3.58	6047.16
Putative uncharacterized protein	Rbpms		6066.65
Putative uncharacterized protein	1110004E09Rik	12	6538.62
Putative uncharacterized protein	Agl	4.12	6756.28
Putative uncharacterized protein	Mut	4.35	6809.71
Putative uncharacterized protein	Parp10	18.09	7068.5
Putative uncharacterized protein	Tardbp	21.65	7801.45
Putative uncharacterized protein	Unc84b	37.31	7839.14
Putative uncharacterized protein	Gusb	34.55	8111.52
Putative uncharacterized protein	Wars2	3.97	8293.16
Putative uncharacterized protein	Ppp2r5a		8653.87
Putative uncharacterized protein	Spin1	20.66	8851.02
Putative uncharacterized protein	Upf3b	10.03	9054.47
Putative uncharacterized protein			9056.13
Putative uncharacterized protein	Wdr33	5.69	9155.46
Putative uncharacterized protein	Rab33b	4.6	9382.1
Putative uncharacterized protein	Slc4a1ap	9.2	9609.49
Putative uncharacterized protein	Tead1	24.45	10131.99
Putative uncharacterized protein	Luzp1	12.1	10180.26
Putative uncharacterized protein	Cnot2	22.79	10185.38
Putative uncharacterized protein	1110001A16Rik		10265.83
Putative uncharacterized protein	Nrf1	12.38	10346.76
Putative uncharacterized protein	Nubpl		10536.45
Putative uncharacterized protein	Ttc37	7.47	10552.96
Putative uncharacterized protein	Oxr1	20.45	11161.64
Putative uncharacterized protein	Gemin4	11.64	11538.76
Putative uncharacterized protein	Kdelc2	4.99	11770.79
Putative uncharacterized protein	Rsf1	2.88	11912.65
Putative uncharacterized protein	Crk		11986.69
Putative uncharacterized protein	Ifi30	27.03	12823.32
Putative uncharacterized protein	Hnrnpc	40.06	12955.93
Putative uncharacterized protein	Tmpo	36.07	13067.42
Putative uncharacterized protein	Coq7	27.94	13516.07
Putative uncharacterized protein	Lpgat1		13942.29
Putative uncharacterized protein	Tpd52l2		14072.2
Putative uncharacterized protein	Ahcyl2		14652.28
Putative uncharacterized protein	Rbm16	15.25	14982.09
Putative uncharacterized protein	Taf12	10.77	15031.3
Putative uncharacterized protein	Atf7		15344.45
Putative uncharacterized protein	Dpf2	24.7	16467.03
Putative uncharacterized protein	E330016A19Rik	5.74	16739.91
Putative uncharacterized protein	Maged2	15.3	17409.5
Putative uncharacterized protein	Tm9sf2		18220.25
Putative uncharacterized protein	Ugcgl2		18587.65
Putative uncharacterized protein	Irf2bp2		19676.04
Putative uncharacterized protein	Ddx54	27.91	20053.35
Putative uncharacterized protein	Rasa1	10.37	20570.3
Putative uncharacterized protein	Hip1r	14.79	21173.7
Putative uncharacterized protein	Ddx41	22.14	21208.8
Putative uncharacterized protein	Pum2	25.55	21351.33
Putative uncharacterized protein	Sfrs4	22.68	21727.94
Putative uncharacterized protein	Serbp1	78.16	22101.84
Putative uncharacterized protein	Lrrc57	2.46	22190.83
Putative uncharacterized protein	2410002F23Rik	41.17	22313.82
Putative uncharacterized protein	Tusc3	23.52	23062.85
Putative uncharacterized protein	Ncstn	20.04	23630.26
Putative uncharacterized protein	Rbbp5	8.97	24784.26
Putative uncharacterized protein	Nqo2	3.05	24909.5
Putative uncharacterized protein	Acin1		25591.15
Putative uncharacterized protein	Ldlr	21.65	26084.41
Putative uncharacterized protein	Tpr		26422.86
Putative uncharacterized protein	Mpdu1	28.41	26526.89
Putative uncharacterized protein	Ubxn7	3.7	27330.29
Putative uncharacterized protein	BC027231	12.19	27586.59
Putative uncharacterized protein	Rab3gap1	11.84	28237.21
Putative uncharacterized protein	Pigk		28268.44
Putative uncharacterized protein	Aldh7a1	7.42	28792.64
Putative uncharacterized protein	Pvr	13.89	30567.46
Putative uncharacterized protein	Dnajc21	16.95	33098.06
Putative uncharacterized protein	Ap1g1	16.05	33107.19
Putative uncharacterized protein	Cpsf3	20.23	33261.25
Putative uncharacterized protein	Gtf2a2	16.97	33700.05
Putative uncharacterized protein	BC003266	12.09	34471.99
Putative uncharacterized protein	Sec24c	16.6	34476.62
Putative uncharacterized protein	Rfc1	25.23	34706.56
Putative uncharacterized protein	1810009N02Rik		34754.38
Putative uncharacterized protein	Dnajc13	13.35	34779.36
Putative uncharacterized protein	Ube3a	10.94	35162.37
Putative uncharacterized protein	Rps6ka1	8.05	35261.74
Putative uncharacterized protein	Trip12		36191.98
Putative uncharacterized protein	Flot2	31.43	36934.93
Putative uncharacterized protein	Trmt2a	13.3	37577.75
Putative uncharacterized protein			38124.27
Putative uncharacterized protein	2310005E10Rik	4.07	38515.03
Putative uncharacterized protein	Trp53rk		39108.94
Putative uncharacterized protein	Myo1e	14.65	39851.95
Putative uncharacterized protein	Pten		40381.75
Putative uncharacterized protein	Ccnk	13.68	40934.8
Putative uncharacterized protein	Ifi47	2.07	42137.24
Putative uncharacterized protein	Parp3	13.91	42156.66
Putative uncharacterized protein	Wbp2	23.61	42315.21
Putative uncharacterized protein	Gmppa	14.02	43692.95
Putative uncharacterized protein	Acox1	12.26	44417.63
Putative uncharacterized protein	Adfp	79.43	46062.91
Putative uncharacterized protein	Klc1	30.37	46736.16
Putative uncharacterized protein	Wdr36	17.48	46836.54
Putative uncharacterized protein	Taf15	98.01	47440.27
Putative uncharacterized protein	Slc7a5	54.76	48939.27
Putative uncharacterized protein	Atp2b1	13.58	49426.78
Putative uncharacterized protein	Nop14	39.22	50029.31
Putative uncharacterized protein	EG624855		50325.23
Putative uncharacterized protein	Abcd3	10.97	51518.53
Putative uncharacterized protein	Nradd	25.39	51521.15
Putative uncharacterized protein	Tapbp	88.09	52404.57
Putative uncharacterized protein	Hmgcl	4.91	53154.93
Putative uncharacterized protein	Gbas	8.43	53580.39
Putative uncharacterized protein	Mov10	11.51	55187.61
Putative uncharacterized protein	Spata5l1		55398.45
Putative uncharacterized protein	Crtap	49.37	55693.35
Putative uncharacterized protein	Tbl2	8.91	57030.29
Putative uncharacterized protein	Aamp	50.78	58197.37
Putative uncharacterized protein	Gtf2i	21.15	61577.05
Putative uncharacterized protein	Txnl4a		61872.07
Putative uncharacterized protein	Smarca4	43.84	63906.56
Putative uncharacterized protein	Nup153	19.48	65302.81
Putative uncharacterized protein	Rcn2	32.3	66203.58
Putative uncharacterized protein	Ap1b1	14.98	68832.86
Putative uncharacterized protein	Pcx	10.17	69872.66
Putative uncharacterized protein	Sec24b	20.3	71464.44
Putative uncharacterized protein	Cnih	39.97	73942.07
Putative uncharacterized protein	Guk1	22.02	75100.6
Putative uncharacterized protein	Chchd6	11.12	75979.57
Putative uncharacterized protein	Ifitm2		77584.72
Putative uncharacterized protein	Ppp2r1b	11.23	77707.49
Putative uncharacterized protein	Nomo1	62.2	78754.76
Putative uncharacterized protein	Snx18		78936.74
Putative uncharacterized protein	Fxr2		81355.55
Putative uncharacterized protein	Ik	36.98	82738.14
Putative uncharacterized protein	Actr10	6.57	82764.17
Putative uncharacterized protein	Pelo		82990.99
Putative uncharacterized protein	Gltscr2	45.64	84661.43
Putative uncharacterized protein	Ard1a		87907.94
Putative uncharacterized protein	Kif4	16.83	88624.44
Putative uncharacterized protein	4921506J03Rik	28.92	90102.32
Putative uncharacterized protein	Higd1a		91701.17
Putative uncharacterized protein	Pgm2	12.78	96216.07
Putative uncharacterized protein	Bms1	23.78	97858.38
Putative uncharacterized protein	Ctsa	21.81	100144.84
Putative uncharacterized protein	Snx1	17.25	100601.02
Putative uncharacterized protein	Mrpl33	97.84	102685.87
Putative uncharacterized protein	Serpinb9	6.23	103823.24
Putative uncharacterized protein	Rab8a	16.1	103897.16
Putative uncharacterized protein	Nolc1	43.48	106404.57
Putative uncharacterized protein	Serpinb9b	11.07	113590.98
Putative uncharacterized protein	Anxa7	13.15	115911.57
Putative uncharacterized protein	Sfrs11		119472.11
Putative uncharacterized protein	Xpnpep1	37.07	120909.37
Putative uncharacterized protein	Hmbs	10.17	120927.41
Putative uncharacterized protein	Ddx52	19.02	122988.06
Putative uncharacterized protein	Srp19	25.4	130191.46
Putative uncharacterized protein	Dctn1		132873.26
Putative uncharacterized protein	Ppat	17.75	139354.9
Putative uncharacterized protein	Heatr1	18.37	145345.84
Putative uncharacterized protein	Pfkp	20.33	148057.46
